idviagem;taxa;datapartida;datachegada;cidade_origem;pais_origem;cidade_destino;pais_destino;nomecondutor;idadecondutor;certificacao;nomebarco;tipobarco;capacidadeteu;sexo;numerocontentares;peso
1;9988,3;12/04/2024;02/05/2024;Valencia;Espanha;FigueiraDaFoz;Portugal;Luís Martins;53;STCW A-II/2;MV Atlântida 605;cargueiro;0;h;3;30
2;5898,77;12/03/2024;19/03/2024;Algeciras;Espanha;FigueiraDaFoz;Portugal;João Ferreira;43;STCW A-II/2;MV Argonauta 734;cargueiro;0;h;9;144
3;32893,54;03/04/2025;07/04/2025;Gdansk;Polónia;FigueiraDaFoz;Portugal;Sara Lopes;48;Yachtmaster;MV Caravela 715;petroleiro;0;m;4;40
4;41789,69;04/11/2024;06/11/2024;Algeciras;Espanha;FigueiraDaFoz;Portugal;Patrícia Oliveira;48;STCW A-II/2;MV Atlântida 390;petroleiro;0;m;7;77
5;22165,31;20/01/2025;21/01/2025;Valencia;Espanha;FigueiraDaFoz;Portugal;Joana Teixeira;36;CoC Class 1;NS Lusitania 997;container;6896;m;6544;104704
6;18951,73;14/07/2025;24/07/2025;Santos;Brasil;FigueiraDaFoz;Portugal;Henrique Sousa;52;Pilotage;MT Argonauta 722;ro-ro;2847;h;1760;22880
7;43137,08;08/07/2024;23/07/2024;Cádiz;Espanha;FigueiraDaFoz;Portugal;Ricardo Sousa;27;STCW A-II/1;MV Atlântico 285;cargueiro;0;h;6;72
8;47495,39;08/10/2025;17/10/2025;Sines;Portugal;FigueiraDaFoz;Portugal;Carolina Gonçalves;42;CoC Class 1;MT Atlântida 624;cargueiro;0;m;4;64
9;1782,35;11/11/2024;25/11/2024;Le Havre;França;FigueiraDaFoz;Portugal;André Lopes;33;CoC Class 2;SS Mondego 864;petroleiro;0;h;6;72
10;30889,84;05/12/2024;20/12/2024;Huelva;Espanha;FigueiraDaFoz;Portugal;Miguel Fernandes;31;CoC Class 2;MV Argonauta 936;petroleiro;0;h;4;40
11;13680,22;04/02/2024;18/02/2024;Cork;Irlanda;FigueiraDaFoz;Portugal;Marta Nunes;41;CoC Class 2;SS Tejo 143;graneleiro;0;m;5;85
12;11189,14;22/01/2025;24/01/2025;Antuérpia;Bélgica;FigueiraDaFoz;Portugal;Bárbara Marques;30;Yachtmaster;MT Açor 142;graneleiro;0;m;6;108
